tract,Under 5 years,5 to 17 years,18 to 34 years,35 to 64 years,65 years and over,Male,Female,RACE_White alone,RACE_Black or African American alone,RACE_American Indian and Alaska Native alone,RACE_Asian alone,RACE_Native Hawaiian and Other Pacific Islander alone,RACE_Some other race alone,RACE_Two or more races,Less than high school graduate,High school graduate (includes equivalency),"Some college, associate's degree",Bachelor's degree or higher,Unemployment
27053000101,0.095058231,0.169342147,0.238589865,0.408876298,0.088133459,0.476864967,0.523135033,0.451054454,0.294932326,0.015108593,0.162732137,0,0.023292414,0.052880076,0.110946746,0.286982249,0.359960552,0.242110454,0.062093436
27053000102,0.091459951,0.173641356,0.28441583,0.350691157,0.099791706,0.491384208,0.508615792,0.418860064,0.28441583,0.001893581,0.135391024,0,0.011740201,0.147699299,0.119735259,0.342659446,0.389891697,0.147713598,0.090670663
27053000300,0.051103719,0.13667977,0.275173874,0.449349864,0.087692773,0.504989416,0.495010584,0.720592682,0.129422437,0.002116722,0.060477774,0,0.016328999,0.071061385,0.087916667,0.190416667,0.301666667,0.42,0.04491833
27053000601,0.088644384,0.11625493,0.288976541,0.418725348,0.087398796,0.474154038,0.525845962,0.811085738,0.082831638,0.009964708,0.033423293,0,0.001868383,0.06082624,0.057520851,0.185217141,0.284728214,0.472533794,0.041666667
27053000603,0.081898067,0.093848858,0.286818981,0.423198594,0.114235501,0.537434095,0.462565905,0.908963093,0.011247803,0.022144112,0.008084359,0,0.033743409,0.015817223,0.023202912,0.19244768,0.258871702,0.525477707,0.000541126
27053001100,0.06473108,0.136601618,0.340314136,0.405045217,0.053307949,0.507853403,0.492146597,0.742027606,0.096620657,0.008091385,0.011423132,0,0.070442646,0.071394574,0.094473008,0.140745501,0.312339332,0.452442159,0.038319823
27053001700,0.077578475,0.108071749,0.426457399,0.3367713,0.051121076,0.517040359,0.482959641,0.611210762,0.253363229,0.002690583,0.011659193,0,0.084304933,0.0367713,0.119016818,0.196636481,0.272962484,0.411384217,0.05520615
27053002200,0.15497662,0.269205077,0.26252505,0.261857047,0.051436206,0.386773547,0.613226453,0.20240481,0.384101536,0.062792251,0.248496994,0,0.091516366,0.010688043,0.180704441,0.366003063,0.375191424,0.078101072,0.151785714
27053002400,0.053727613,0.076218242,0.466888796,0.287380258,0.11578509,0.538109121,0.461890879,0.748854644,0.177426072,0.01332778,0.01999167,0,0.004581424,0.035818409,0.065804274,0.191788526,0.299212598,0.443194601,0.029462738
27053002700,0.100878735,0.210544815,0.287170475,0.302636204,0.098769772,0.527240773,0.472759227,0.253778559,0.487521968,0.032688928,0.144815466,0,0.008787346,0.072407733,0.110311751,0.284772182,0.316546763,0.288369305,0.068322981
27053003200,0.046179219,0.225398571,0.299065421,0.324903793,0.104452996,0.506871908,0.493128092,0.314458494,0.579989005,0,0.031335899,0,0.008796042,0.065420561,0.082758621,0.186206897,0.329310345,0.401724138,0.031044214
27053003300,0.094479005,0.289657854,0.302099533,0.274105754,0.039657854,0.501944012,0.498055988,0.097978227,0.578926905,0.030715397,0.199455677,0,0.049377916,0.043545879,0.244766506,0.19726248,0.388888889,0.169082126,0.099750623
27053003800,0.034436579,0,0.817677444,0.127989286,0.01989669,0.542950067,0.457049933,0.754161087,0.013965946,0.03271475,0.122632485,0,0.02429692,0.052228812,0.049311417,0.135495335,0.167036873,0.648156375,0.059776409
27053005901,0.052244582,0.080495356,0.303018576,0.396671827,0.167569659,0.528250774,0.471749226,0.529798762,0.390092879,0.002708978,0.026315789,0,0.037151703,0.013931889,0.172360248,0.196169772,0.346273292,0.285196687,0.111111111
27053005902,0.12228011,0.19123506,0.338032485,0.319950965,0.028501379,0.534171008,0.465828992,0.317192767,0.466748391,0.037082439,0.004596997,0,0.100214527,0.074164879,0.347116431,0.304134929,0.213275299,0.135473341,0.113207547
27053006800,0.046403712,0.033255994,0.647589585,0.245424078,0.027326631,0.515339005,0.484660995,0.713070379,0.197989172,0.005413766,0.029389018,0,0.037380768,0.016756896,0.072611914,0.090236165,0.338033134,0.499118787,0.069908815
27053007700,0.061295565,0.083352682,0.579986069,0.259577432,0.015788252,0.543998143,0.456001857,0.644299977,0.247736243,0,0.050847458,0,0.020664035,0.036452287,0.09007741,0.095003519,0.191766362,0.623152709,0.008692952
