,GEO_ID,Families,Family received Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months,Family received Social security income in the past 12 months,With related children of householder under 18 years
0,27053000101,664,73,206,310
1,27053000102,977,260,273,580
2,27053000300,802,30,126,407
3,27053000601,1179,105,279,533
4,27053000603,791,8,133,306
5,27053001100,436,12,68,218
6,27053001700,464,100,36,263
7,27053002200,274,65,55,188
8,27053002400,418,18,117,180
9,27053002700,571,113,92,349
10,27053003200,393,25,98,225
11,27053003300,498,129,84,355
12,27053003800,457,12,16,152
13,27053005901,273,94,18,203
14,27053005902,428,89,14,332
15,27053006800,490,24,10,246
16,27053007700,619,62,40,306
17,27053007801,319,39,26,279
18,27053008100,388,10,66,100
19,27053008200,658,16,58,287
20,27053008300,325,74,40,270
21,27053008400,507,40,44,364
22,27053008500,866,109,77,594
23,27053009500,664,142,84,343
24,27053009600,895,59,111,518
25,27053010600,805,11,174,363
26,27053010700,677,5,134,371
27,27053011000,957,80,192,367
28,27053011703,1180,48,233,635
29,27053011704,820,26,168,452
30,27053011800,1227,20,271,569
31,27053011998,1097,126,223,494
32,27053012001,1516,28,241,849
33,27053012003,1363,84,253,851
34,27053012101,646,18,80,365
35,27053012102,709,70,191,252
36,27053020101,955,30,265,416
37,27053020102,540,25,161,245
38,27053020200,1767,442,291,1073
39,27053020301,591,94,137,344
40,27053020302,659,120,117,401
41,27053020303,763,57,222,399
42,27053020304,807,119,212,530
43,27053020400,1124,104,205,655
44,27053020500,834,117,187,456
45,27053020600,448,70,121,251
46,27053020700,1095,127,255,504
47,27053020801,472,77,86,242
48,27053020804,662,140,167,295
49,27053020902,592,41,154,244
50,27053020903,781,62,220,300
51,27053021001,1413,74,408,681
52,27053021002,484,32,106,180
53,27053021100,443,58,96,242
54,27053021200,1169,61,243,514
55,27053021300,1045,131,247,521
56,27053021400,751,72,118,391
57,27053021501,1047,104,359,412
58,27053021502,747,189,120,499
59,27053021503,1243,126,286,695
60,27053021504,906,55,243,381
61,27053021505,1235,70,300,535
62,27053021601,1224,49,374,441
63,27053021602,1403,38,361,534
64,27053021700,1441,12,321,533
65,27053021800,688,31,211,286
66,27053021900,869,22,310,346
67,27053022000,292,0,31,82
68,27053022101,614,35,109,279
69,27053022102,654,34,105,282
70,27053022200,983,16,215,385
71,27053022301,563,53,161,236
72,27053022302,757,44,179,485
73,27053022400,967,100,186,464
74,27053022700,924,62,207,515
75,27053022801,541,13,131,253
76,27053022802,564,41,92,249
77,27053022901,1081,16,291,444
78,27053022902,427,6,85,226
79,27053023000,931,53,120,409
80,27053023100,507,10,88,287
81,27053023200,1280,39,126,679
82,27053023300,1125,55,223,495
83,27053023400,1302,178,323,687
84,27053023501,1009,9,216,499
85,27053023502,1622,16,516,642
86,27053023600,1136,0,244,558
87,27053023700,1461,39,401,803
88,27053023801,1486,67,287,905
89,27053023802,735,20,118,443
90,27053023901,1113,56,271,520
91,27053023902,599,25,200,277
92,27053023903,887,35,345,361
93,27053024003,1302,53,203,691
94,27053024004,988,23,388,360
95,27053024005,339,31,116,75
96,27053024006,582,16,185,283
97,27053024100,889,19,221,358
98,27053024200,827,10,168,329
99,27053024300,819,0,119,360
100,27053024400,915,72,371,265
101,27053024500,574,33,164,249
102,27053024600,850,78,142,425
103,27053024700,732,61,223,359
104,27053024801,547,35,112,268
105,27053024802,535,44,100,322
106,27053024901,242,24,45,135
107,27053024902,587,40,125,312
108,27053024903,541,68,96,359
109,27053025100,609,38,119,172
110,27053025201,1107,86,166,691
111,27053025205,1155,70,245,496
112,27053025301,707,14,246,240
113,27053025302,1020,55,325,408
